Date,Code,Description,Unit Sales,Sales Value
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",29,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",27,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",20,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",20,$679.00 
15.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",28,$679.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",29,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",27,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",20,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",20,$680.00 
22.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",28,$680.00 
29.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$637.00 
29.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",31,$637.00 
29.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",29,$637.00 
29.05.2023,KO5740137,"Kodak 6 x 4"" Everyday Photo Paper Matte 120gsm 100PK",27,$637.00 
