time,side,price,qty
07:17.9,BUY,82619.55,0.00007
07:17.9,BUY,82619.56,0.00007
07:17.9,BUY,82619.56,0.00007
07:17.9,BUY,82619.56,0.00008
07:17.9,BUY,82619.56,0.00007
07:17.9,BUY,82619.56,0.00007
07:17.9,BUY,82619.56,0.00017
07:17.9,BUY,82619.56,0.00017
07:17.9,BUY,82619.56,0.00017
07:17.9,BUY,82619.56,0.00007
07:18.8,SELL,82619.56,0.00012
07:18.8,BUY,82619.57,0.0002
07:19.2,SELL,82619.56,0.0013
07:19.3,BUY,82619.57,0.0012
07:19.3,SELL,82619.56,0.00012
07:19.7,SELL,82619.56,0.00042
07:19.8,BUY,82619.57,0.0002
07:20.1,SELL,82619.56,0.00007
07:20.8,BUY,82619.57,0.06074
07:20.8,BUY,82619.57,0.00748
07:20.8,BUY,82619.57,0.00623
07:20.8,BUY,82619.57,0.02494
07:20.8,BUY,82619.57,0.12381
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.0001
07:20.8,BUY,82619.57,0.0001
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.0001
07:20.8,BUY,82619.57,0.00013
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.57,0.00352
07:20.8,BUY,82619.57,0.00007
07:20.8,BUY,82619.58,0.00013
07:20.8,BUY,82619.58,0.00014
07:20.8,BUY,82619.58,0.00013
07:20.8,BUY,82619.58,0.00007
07:20.8,BUY,82619.58,0.00007
07:20.8,BUY,82619.6,0.00007
07:20.8,BUY,82619.6,0.00007
07:20.8,BUY,82619.72,0.00007
07:20.8,BUY,82619.72,0.00007
07:20.8,BUY,82619.92,0.00007
07:20.8,BUY,82619.92,0.00007
07:20.8,BUY,82619.92,0.00007
07:20.8,BUY,82619.92,0.00007
07:20.8,BUY,82619.92,0.00007
07:20.8,BUY,82619.93,0.01298
07:20.8,BUY,82619.93,0.00007
07:20.8,BUY,82619.93,0.00007
07:20.8,BUY,82619.93,0.00007
07:20.8,BUY,82619.99,0.00007
07:20.8,BUY,82619.99,0.00007
07:20.8,BUY,82619.99,0.00007
07:20.8,BUY,82619.99,0.00007
07:20.8,BUY,82620,0.00012
07:20.8,BUY,82620,0.02421
07:20.8,BUY,82620,0.00025
07:20.8,BUY,82620,0.00007
07:20.8,BUY,82621,0.00007
07:20.8,BUY,82621,0.00007
07:20.8,BUY,82621.06,0.00007
07:20.8,BUY,82621.11,0.00007
07:20.8,BUY,82621.11,0.00007
07:20.8,BUY,82621.11,0.00018
07:20.8,BUY,82621.11,0.00007
07:20.8,BUY,82621.12,0.00007
07:20.8,BUY,82621.12,0.00007
07:20.8,BUY,82621.19,0.02885
07:20.8,BUY,82621.19,0.00008
07:20.8,BUY,82621.19,0.00008
07:20.8,BUY,82621.19,0.00008
07:20.8,BUY,82621.19,0.00007
07:20.8,BUY,82621.19,0.00007
07:20.8,BUY,82621.73,0.00007
07:20.8,BUY,82621.75,0.00328
07:20.8,BUY,82622.48,0.00013
07:20.8,BUY,82622.73,0.0001
07:20.8,BUY,82623.18,0.00077
07:20.8,BUY,82623.18,0.001
07:20.8,BUY,82623.18,0.00055
07:20.8,BUY,82623.34,0.00045
07:20.8,BUY,82623.34,0.005
07:20.8,BUY,82623.34,0.02189
07:20.8,BUY,82624.02,0.00621
07:20.8,BUY,82624.15,0.00014
07:20.8,BUY,82624.5,0.01176
07:20.8,BUY,82624.5,0.01
07:20.8,BUY,82625.58,0.00008
07:20.8,BUY,82625.79,0.00008
07:20.8,BUY,82627.6,0.00621
07:20.8,BUY,82627.82,0.00007
07:20.8,BUY,82627.82,0.00007
07:20.8,BUY,82627.82,0.00007
07:20.8,BUY,82627.83,0.00007
07:20.8,BUY,82627.84,0.07335
07:20.8,BUY,82627.84,0.005
07:20.8,BUY,82627.84,0.01
07:20.8,BUY,82627.84,0.16
07:20.8,BUY,82627.84,0.001
07:20.8,BUY,82628,0.0484
07:20.8,BUY,82628.02,0.00013
07:20.8,BUY,82628.38,0.00007
07:20.8,BUY,82628.56,0.09661
07:20.8,BUY,82629.31,0.001
07:20.8,BUY,82629.65,0.00973
07:20.8,BUY,82629.87,0.0076
07:20.8,BUY,82630,0.00012
07:20.8,BUY,82630.72,0.00007
07:20.8,BUY,82631.08,0.00395
07:20.8,BUY,82631.61,0.0121
07:20.8,BUY,82631.64,0.01769
07:20.8,BUY,82631.81,0.00621
07:20.8,BUY,82632,0.0001
07:20.8,BUY,82632.08,0.092
07:20.8,BUY,82632.09,0.2279
07:20.8,BUY,82632.09,0.02
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.0001
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.09,0.00007
07:20.8,BUY,82632.22,0.00012
07:20.8,BUY,82632.22,0.00012
07:20.8,BUY,82632.22,0.00007
07:20.8,BUY,82632.3,0.00008
07:20.8,BUY,82632.3,0.00007
07:20.8,BUY,82632.3,0.00007
07:20.8,BUY,82632.39,0.00007
07:20.8,BUY,82632.39,0.00007
07:20.8,BUY,82632.39,0.00007
07:20.8,BUY,82632.4,0.0108
07:20.8,BUY,82632.4,0.00038
07:20.8,BUY,82632.4,0.00007
07:20.8,BUY,82632.4,0.00007
07:20.8,BUY,82632.76,0.00007
07:20.8,BUY,82632.76,0.00007
07:20.8,BUY,82632.76,0.00007
07:20.8,BUY,82632.77,0.02955
07:20.8,BUY,82632.77,0.00024
07:20.8,BUY,82632.77,0.00012
07:20.8,BUY,82632.77,0.01009
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.0001
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.0001
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.0005
07:20.8,BUY,82632.77,0.0001
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.77,0.00007
07:20.8,BUY,82632.85,0.00007
07:20.8,BUY,82632.85,0.00007
07:20.8,BUY,82632.85,0.00007
07:20.8,BUY,82632.86,0.00007
07:20.8,BUY,82632.86,0.00007
07:20.8,BUY,82632.86,0.00007
07:20.8,BUY,82632.86,0.00007
07:20.8,BUY,82632.96,0.00017
07:20.8,BUY,82632.96,0.00007
07:20.8,BUY,82632.96,0.00007
07:20.8,BUY,82632.96,0.00017
07:20.8,BUY,82632.97,0.00007
07:20.8,BUY,82632.97,0.00007
07:20.8,BUY,82632.97,0.00005
07:20.9,BUY,82632.97,0.00002
07:20.9,BUY,82632.97,0.00007
07:20.9,BUY,82632.97,0.00011
07:20.9,BUY,82632.97,0.008
07:21.0,SELL,82632.96,0.00018
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00007
07:21.0,BUY,82632.97,0.00531
07:21.0,BUY,82632.97,0.00792
07:21.0,BUY,82632.97,0.00039
07:21.0,BUY,82632.97,0.006
07:21.0,BUY,82632.97,0.01835
07:21.3,BUY,82632.97,0.00014
07:21.3,BUY,82632.97,0.0001
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.0001
07:21.3,BUY,82632.97,0.0001
07:21.3,BUY,82632.97,0.0001
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.97,0.0001
07:21.3,BUY,82632.97,0.00103
07:21.3,BUY,82632.97,0.00007
07:21.3,BUY,82632.98,0.00069
07:21.3,BUY,82632.98,0.00007
07:21.3,BUY,82632.98,0.00007
07:21.3,BUY,82632.98,0.00014
07:21.3,BUY,82632.98,0.00013
07:21.3,BUY,82632.98,0.00007
07:21.3,BUY,82632.98,0.00007
07:21.3,BUY,82633.06,0.00007
07:21.3,BUY,82633.06,0.00007
07:21.3,BUY,82633.08,0.00007
07:21.3,BUY,82633.08,0.00007
07:21.3,BUY,82633.27,0.00007
07:21.3,BUY,82633.27,0.00007
07:21.3,BUY,82633.28,0.00007
07:21.3,BUY,82633.39,0.00007
07:21.3,BUY,82633.39,0.00007
07:21.3,BUY,82633.59,0.00107
07:21.3,BUY,82633.59,0.00007
07:21.3,BUY,82633.64,0.00063
07:21.3,BUY,82633.64,0.00063
07:21.3,BUY,82633.64,0.00055
07:21.3,BUY,82633.64,0.00008
07:21.3,BUY,82633.86,0.00007
07:21.3,BUY,82633.86,0.00007
07:21.3,BUY,82633.86,0.00007
07:21.3,BUY,82633.87,0.00463
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.0001
07:21.4,BUY,82633.87,0.0001
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.0001
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82633.87,0.00007
07:21.4,BUY,82634.2,0.00007
07:21.4,BUY,82634.2,0.00007
07:21.4,BUY,82634.2,0.00007
07:21.4,BUY,82634.2,0.00007
07:21.4,BUY,82635.29,0.00014
07:21.4,BUY,82635.29,0.00007
07:21.4,BUY,82635.29,0.00007
07:21.4,BUY,82635.3,0.00007
07:21.4,BUY,82635.3,0.00007
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.0001
07:21.8,BUY,82635.31,0.0001
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.00012
07:21.8,BUY,82635.31,0.00012
07:21.8,BUY,82635.31,0.00008
07:21.8,BUY,82635.31,0.00008
07:21.8,BUY,82635.31,0.00008
07:21.8,BUY,82635.31,0.00007
07:21.8,BUY,82635.31,0.0001
07:21.8,BUY,82635.31,0.0005
07:21.8,BUY,82635.31,0.00014
07:21.8,BUY,82635.31,0.00208
07:21.8,BUY,82635.31,0.0002
07:21.9,SELL,82635.3,0.00078
07:22.4,SELL,82635.3,0.0006
07:22.6,SELL,82635.3,0.00012
07:23.1,BUY,82635.31,0.00006
07:23.1,BUY,82635.31,0.00212
07:23.4,SELL,82635.3,0.0061
07:23.6,BUY,82635.31,0.00059
07:25.1,BUY,82635.31,0.00027
07:25.2,BUY,82635.31,0.00012
07:25.8,SELL,82635.3,0.00012
07:26.7,BUY,82635.31,0.03183
07:26.9,SELL,82635.3,0.00073
07:27.1,SELL,82635.3,0.00012
07:27.2,SELL,82635.3,0.00024
07:27.7,SELL,82635.3,0.0001
07:27.7,SELL,82635.3,0.00007
07:27.7,SELL,82635.3,0.00003
07:28.1,SELL,82635.3,0.00004
07:28.1,SELL,82635.3,0.00007
07:28.1,SELL,82635.3,0.00007
07:28.1,SELL,82635.3,0.0005
07:28.1,SELL,82635.3,0.0016
07:28.3,SELL,82635.3,0.00123
07:28.7,SELL,82635.3,0.00068
07:29.2,SELL,82635.3,0.00038
07:29.4,SELL,82635.3,0.00359
07:29.4,SELL,82635.3,0.00032
